"id","query","name","type","address","adname","location","pname","cityname","tel","source"
"B01D600JWH","牙克石林业局","内蒙古自治区大兴安岭林业管理局","政府机构及社会团体;政府机关;政府机关相关","兴安中街29号","牙克石市","120.728966,49.286161","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600OUP","阿里河林场","阿里河林业局第二小学校","政府机构及社会团体;政府机关;政府机关相关","中央路159号","鄂伦春自治旗","123.726870,50.591807","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600OUP","阿里河林业局","阿里河林业局第二小学校","政府机构及社会团体;政府机关;政府机关相关","中央路159号","鄂伦春自治旗","123.726870,50.591807","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600OUQ","阿里河林业局","阿里河森林工业有限公司防火办","公司企业;公司;公司","中央路159号","鄂伦春自治旗","123.726925,50.591725","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600U8V","大杨树林场","大杨树沟","地名地址信息;自然地名;山","阿荣旗","阿荣旗","122.924948,48.542680","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D6014A2","甘河林业局","甘河","地名地址信息;自然地名;河流","鄂伦春自治旗","鄂伦春自治旗","124.304575,50.060611","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KB6","甘河林业局","内蒙古自治区甘河森林公安局","政府机构及社会团体;公检法机构;公安警察","六顺路与中央街交叉口西320米","鄂伦春自治旗","123.044491,50.632863","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KD6","图里河林业局","内蒙古自治区图里河林业局森林经营处","政府机构及社会团体;政府机关;政府机关相关","X302鹤祥园度假村","牙克石市","121.650110,50.514862","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KDD","吉文林业局","吉文森林公安局","政府机构及社会团体;公检法机构;公安警察","吉文镇中央路112号","鄂伦春自治旗","123.204865,50.581135","内蒙古自治区","呼伦贝尔市","0470-5926110;0470-5926240","amap_place_text"
"B01D601KFJ","图里河林业局","牙克石市图里河医院","医疗保健服务;综合医院;综合医院","图里河镇","牙克石市","121.692347,50.484081","内蒙古自治区","呼伦贝尔市","0470-7867821","amap_place_text"
"B01D601KFL","图里河林业局","内蒙古自治区图里河森林公安局","政府机构及社会团体;公检法机构;公安警察","牙伊线内蒙古图里河森林公安局","牙克石市","121.684055,50.485040","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KJ6","库都尔林业局","库都尔林业局中学","科教文化服务;学校;中学","库都尔镇","牙克石市","121.622442,50.029834","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KJ9","库都尔林业局","内蒙古自治区库都尔森林公安局","政府机构及社会团体;公检法机构;公安警察","牙伊线内蒙古库都尔森林公安局","牙克石市","121.619000,50.028515","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KLW","大杨树林场","大杨树第二中学","科教文化服务;学校;中学","大杨树镇","鄂伦春自治旗","124.596467,49.741448","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KLY","大杨树林场","大杨树第一中学","科教文化服务;学校;中学","大杨树镇","鄂伦春自治旗","124.608289,49.744845","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KLZ","大杨树林场","大杨树站","交通设施服务;火车站;火车站","甘奎路南200米","鄂伦春自治旗","124.609946,49.748734","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KM5","大杨树林场","大杨树地区人民检察院","政府机构及社会团体;公检法机构;检察院","111国道大杨树第一小学附近","鄂伦春自治旗","124.6101337,49.7430561","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KQG","乌尔旗汉林业局","内蒙古自治区乌尔其汉森林公安局","政府机构及社会团体;公检法机构;公安警察","乌尔旗汗森林公安局","牙克石市","121.395408,49.579994","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KQG","牙克石林业局","内蒙古自治区乌尔其汉森林公安局","政府机构及社会团体;公检法机构;公安警察","乌尔旗汗森林公安局","牙克石市","121.395408,49.579994","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KQY","甘河林场","甘河农场公园","风景名胜;公园广场;公园","111国道西100米","莫力达瓦达斡尔族自治旗","124.644149,49.373651","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KR1","甘河林场","甘河农场学校","科教文化服务;学校;中学","长兴路","莫力达瓦达斡尔族自治旗","124.637953,49.380698","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D601KR7","甘河林场","莫旗甘河农场南中国石油甘河加油站","汽车服务;加油站;中国石油","111国道西甘河交警队斜对面","莫力达瓦达斡尔族自治旗","124.646414,49.367672","内蒙古自治区","呼伦贝尔市","0470-4872848","amap_place_text"
"B01D60N1X8","牙克石林业局","内蒙古绰源林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","绰河源镇","牙克石市","121.363416,48.339368","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N3DT","阿里河林场","阿里河","地名地址信息;自然地名;河流","鄂伦春自治旗","鄂伦春自治旗","123.761890,50.566713","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N5ZZ","甘河林业局","甘河林业局工会委员会","政府机构及社会团体;社会团体;社会团体相关","中央街与六顺路交叉口东100米","鄂伦春自治旗","123.050241,50.632312","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N60D","根河林业局","内蒙古自治区得耳布尔森林公安局","政府机构及社会团体;公检法机构;公安警察","得耳布尔林业局东南门西南100米","根河市","121.056554,50.995496","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N60X","吉文林业局","中共吉文林业局委员会","政府机构及社会团体;政府机关;乡镇级政府及事业单位","吉文森工公司东侧80米","鄂伦春自治旗","123.206380,50.582003","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N62Z","图里河林业局","图里河林业局工会","政府机构及社会团体;社会团体;社会团体相关","隆丰超市东北侧120米","牙克石市","121.682319,50.485133","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N65N","大杨树林业局","大杨树森林公安局中心派出所","政府机构及社会团体;公检法机构;公安警察","甘奎路自治旗大杨树森林公安局西南","鄂伦春自治旗","124.623658,49.736936","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N66D","吉文林业局","中共吉文森林公安局委员会","政府机构及社会团体;公检法机构;公安警察","鑫永利茶庄北侧","鄂伦春自治旗","123.204891,50.581112","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N68I","牙克石林业局","巴林林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","巴林镇","牙克石市","122.330809,48.315113","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N69T","图里河林业局","内蒙古图里河林业局营林生产科","政府机构及社会团体;政府机关;政府机关相关","302县道西50米","牙克石市","121.650187,50.514903","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N6CC","甘河林业局","甘河中学","科教文化服务;学校;中学","甘河镇301省道附近","鄂伦春自治旗","123.037180,50.632696","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N6CD","根河林业局","根河市森林公安局","政府机构及社会团体;公检法机构;公安警察","兴安路与双拥街交叉口西140米","根河市","121.519075,50.778187","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N6CR","牙克石林业局","大兴安岭林业管理局社会保险和再就业第一办事处","政府机构及社会团体;政府机关;政府机关相关","光明路32号","牙克石市","120.710668,49.290497","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N6EI","根河林业局","得耳布尔林业局总务处","政府机构及社会团体;政府机关;乡镇级政府及事业单位","林局幼儿园附近","根河市","121.056931,50.996953","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N6L0","库都尔林业局","牙克石市人民法院库都尔法庭","政府机构及社会团体;公检法机构;法院","库都尔林业局中学东南侧130米","牙克石市","121.623241,50.028754","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N6LV","大杨树林场","大杨树宾馆","住宿服务;宾馆酒店;宾馆酒店","甘奎路与嫩源路交叉口东南角","鄂伦春自治旗","124.624094,49.742265","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N6ZK","图里河林业局","中国联通(图里河营业厅)","生活服务;电讯营业厅;中国联通营业厅","图里河林业局西北侧140米","牙克石市","121.681816,50.482688","内蒙古自治区","呼伦贝尔市","18604807557","amap_place_text"
"B01D60N7PP","免渡河林业局","免渡河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","免渡河镇二道街","牙克石市","121.049458,49.095729","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N7PP","牙克石林业局","免渡河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","免渡河镇二道街","牙克石市","121.049458,49.095729","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N7SF","免渡河林业局","中共免渡河林业局委员会","政府机构及社会团体;政府机关;乡镇级政府及事业单位","中华路二道街","牙克石市","121.049260,49.095598","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N7SF","牙克石林业局","中共免渡河林业局委员会","政府机构及社会团体;政府机关;乡镇级政府及事业单位","中华路二道街","牙克石市","121.049260,49.095598","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N7T7","牙克石林业局","乌奴尔林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","乌奴尔镇大桥街","牙克石市","121.253007,48.859752","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N800","甘河林业局","中国邮政鄂伦春自治旗甘河支局(甘河邮政支局)","生活服务;邮局;邮局","甘河镇甘河林业局","鄂伦春自治旗","123.045097,50.632240","内蒙古自治区","呼伦贝尔市","0470-5852449","amap_place_text"
"B01D60N82S","免渡河林业局","牙克石市免渡河国有林场","公司企业;农林牧渔基地;其它农林牧渔基地","中华路四道街","牙克石市","121.051469,49.090645","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N82S","牙克石林场","牙克石市免渡河国有林场","公司企业;农林牧渔基地;其它农林牧渔基地","中华路四道街","牙克石市","121.051469,49.090645","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8AL","图里河林业局","伊图里河林业局伊西检查站","政府机构及社会团体;政府机关;政府机关相关","301省道西50米","牙克石市","121.553288,50.651274","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8AL","伊图里河林业局","伊图里河林业局伊西检查站","政府机构及社会团体;政府机关;政府机关相关","301省道西50米","牙克石市","121.553288,50.651274","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8B0","免渡河林业局","中共免渡河林业局红旗林场支部委员会","政府机构及社会团体;政府机关;政府机关相关","Z005附近","牙克石市","121.053951,49.090347","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8B0","牙克石林业局","中共免渡河林业局红旗林场支部委员会","政府机构及社会团体;政府机关;政府机关相关","Z005附近","牙克石市","121.053951,49.090347","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8GU","牙克石林业局","内蒙古牙克石森林公安局","政府机构及社会团体;公检法机构;公安警察","工业大街4号","牙克石市","120.724050,49.297214","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8JP","大杨树林业局","蓝天网吧(大杨树林业局园丁小区东南)","体育休闲服务;娱乐场所;网吧","319县道大杨树林业局园丁小区东南角底商","鄂伦春自治旗","124.624600,49.731183","内蒙古自治区","呼伦贝尔市","0470-5726362","amap_place_text"
"B01D60N8O5","大杨树林场","大杨树客运站","交通设施服务;长途汽车站;长途汽车站","大杨树镇","鄂伦春自治旗","124.586242,49.753591","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8OW","大杨树林业局","大杨树第三中学","科教文化服务;学校;中学","大杨树镇","鄂伦春自治旗","124.621835,49.734443","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8PI","牙克石林业局","大兴安岭林管局社会保险和再就业第二办事处委员会","政府机构及社会团体;政府机关;政府机关相关","工业大街与青松北路交叉口东北40米","牙克石市","120.729268,49.297677","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8YV","大杨树林业局","大杨树林业局园丁小区","商务住宅;住宅区;住宅小区","","鄂伦春自治旗","124.622368,49.733184","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8YX","大杨树林场","大杨树第二小学","科教文化服务;学校;小学","大杨树镇","鄂伦春自治旗","124.631157,49.733305","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N8Z7","甘河林场","甘河站","交通设施服务;火车站;火车站","甘河镇","鄂伦春自治旗","123.059379,50.629665","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N9AJ","牙克石林场","小九亚林场","公司企业;农林牧渔基地;其它农林牧渔基地","","牙克石市","121.663360,50.041035","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N9EH","图里河林业局","图里河森林工业有限公司","公司企业;公司;公司","图里河镇","牙克石市","121.682877,50.481229","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N9M2","克一河林业局","中共克一河森林公安局委员会","政府机构及社会团体;公检法机构;公安警察","中央街","鄂伦春自治旗","122.521884,50.654265","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60N9QP","克一河林业局","内蒙古自治区克一河森林公安局","政府机构及社会团体;公检法机构;公安警察","克一河森林公安局","鄂伦春自治旗","122.522187,50.653801","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NA0M","海拉尔林业局","海拉尔西山自然保护区管理局","政府机构及社会团体;政府机关;区县级政府及事业单位","西交界街森林公安局","海拉尔区","119.732570,49.213825","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NA3E","吉文林业局","吉文林业局燃料供应处","公司企业;公司;公司","吉文镇","鄂伦春自治旗","123.216319,50.572477","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NA79","克一河林业局","克一河派出所","政府机构及社会团体;公检法机构;公安警察","301省道110号","鄂伦春自治旗","122.493825,50.650837","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NA81","大杨树林业局","乌鲁布铁管护站","政府机构及社会团体;政府机关;乡镇级政府及事业单位","中国石油乌鲁布铁镇加油站东南侧200米","鄂伦春自治旗","124.378382,49.888773","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NAMW","克一河林业局","诺敏山庄","餐饮服务;中餐厅;综合酒楼|体育休闲服务;休闲场所;休闲场所","克一河林业局","鄂伦春自治旗","122.494511,50.650733","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NAP6","根河林业局","得耳布尔林业局物资供应管理处","政府机构及社会团体;政府机关;乡镇级政府及事业单位","得耳布尔镇","根河市","121.075781,50.994046","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NAZK","根河林业局","得耳布尔林业局森林资源管护大队花楸山管护站","政府机构及社会团体;政府机关;政府机关相关","325县道西北侧","根河市","121.137201,50.948795","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NB5E","阿里河林业局","内蒙古自治区吉文林业局贮木场","公司企业;公司;公司","吉文镇","鄂伦春自治旗","123.210125,50.582345","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NB5E","吉文林业局","内蒙古自治区吉文林业局贮木场","公司企业;公司;公司","吉文镇","鄂伦春自治旗","123.210125,50.582345","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NB78","图里河林业局","伊图里河林业局银阿森林资源管护所总支委员会","政府机构及社会团体;政府机关;政府机关相关","301省道北50米","鄂伦春自治旗","122.334963,50.648380","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NB78","伊图里河林业局","伊图里河林业局银阿森林资源管护所总支委员会","政府机构及社会团体;政府机关;政府机关相关","301省道北50米","鄂伦春自治旗","122.334963,50.648380","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBFV","图里河林业局","图里河林业局森林病虫害防治检疫站","政府机构及社会团体;政府机关;政府机关相关","302县道西50米","牙克石市","121.650187,50.514903","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBGW","甘河林场","甘河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","甘河镇","鄂伦春自治旗","123.050544,50.632735","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBGW","甘河林业局","甘河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","甘河镇","鄂伦春自治旗","123.050544,50.632735","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBMQ","图里河林业局","图里河林业局幼儿园","科教文化服务;学校;幼儿园","图里河镇","牙克石市","121.683209,50.485091","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBMR","图里河林业局","中共图里河森林公安局委员会","政府机构及社会团体;公检法机构;公安警察","图里河镇内蒙古自治区图里河森林公安局附近","牙克石市","121.684119,50.484943","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBMX","阿里河林业局","中共阿里河林业局森林调查设计队支部委员会","政府机构及社会团体;政府机关;乡镇级政府及事业单位","龙华路与红旗街交叉口北80米","鄂伦春自治旗","123.727897,50.596725","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBMY","阿里河林业局","阿里河林业局森林调查设计队","政府机构及社会团体;政府机关;乡镇级政府及事业单位","龙华路45号","鄂伦春自治旗","123.728296,50.596712","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBQ6","根河林业局","内蒙古得耳布尔林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","Z008附近","根河市","121.057107,50.996473","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NBTY","大杨树林业局","中共大杨树林业局委员会","政府机构及社会团体;政府机关;乡镇级政府及事业单位","能源路与甘奎路交叉口南380米","鄂伦春自治旗","124.625848,49.737245","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NC2N","阿里河林业局","中共阿里河森林公安局委员会","政府机构及社会团体;公检法机构;公安警察","龙华路与文化街交叉口东南60米","鄂伦春自治旗","123.731049,50.587738","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NC39","大杨树林场","内蒙古大兴安岭森林公安局大杨树分局","政府机构及社会团体;公检法机构;公安警察","能源路与甘奎路交叉口南400米","鄂伦春自治旗","124.625370,49.737207","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NC39","大杨树林业局","内蒙古大兴安岭森林公安局大杨树分局","政府机构及社会团体;公检法机构;公安警察","能源路与甘奎路交叉口南400米","鄂伦春自治旗","124.625370,49.737207","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NEEU","阿里河林场","内蒙古阿里河国家森林公园","风景名胜;公园广场;水族馆","阿里河林业局","鄂伦春自治旗","123.310697,50.372023","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NEEU","阿里河林业局","内蒙古阿里河国家森林公园","风景名胜;公园广场;水族馆","阿里河林业局","鄂伦春自治旗","123.310697,50.372023","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NFKY","乌尔旗汗林业局","乌尔其汗森林公安局(第二派出所)","政府机构及社会团体;公检法机构;公安警察","乌尔其汉镇","牙克石市","121.386505,49.568198","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NG40","乌尔旗汗林业局","乌尔其汉林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","乌尔其汉镇","牙克石市","121.386856,49.568939","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NG40","牙克石林业局","乌尔其汉林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","乌尔其汉镇","牙克石市","121.386856,49.568939","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NG6L","根河林业局","金河林业局森林资源管理处","政府机构及社会团体;政府机关;政府机关相关","金河镇","根河市","121.518148,51.333504","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NG6U","库都尔林业局","库都尔林业局","政府机构及社会团体;政府机关;政府机关相关","","牙克石市","121.620809,50.029267","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NG6U","牙克石林业局","库都尔林业局","政府机构及社会团体;政府机关;政府机关相关","","牙克石市","121.620809,50.029267","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D60NG8M","图里河林业局","图里河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","","牙克石市","121.683148,50.481691","内蒙古自治区","呼伦贝尔市","0470-7867512","amap_place_text"
"B01D60NG8M","牙克石林业局","图里河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","","牙克石市","121.683148,50.481691","内蒙古自治区","呼伦贝尔市","0470-7867512","amap_place_text"
"B0FFF3WPG6","根河林业局","满归森林公安局(第二派出所)","政府机构及社会团体;公检法机构;公安警察","满归镇","根河市","122.053020,52.044785","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFF45ZFK","根河林业局","根河林业局电讯管理处","政府机构及社会团体;政府机关;政府机关相关","林海街","根河市","121.536335,50.781357","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFF4V7HK","根河林业局","满归林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","324县道双利商店东30米","根河市","122.055261,52.043112","内蒙古自治区","呼伦贝尔市","0470-5372799","amap_place_text"
"B0FFF4ZQ4M","图里河林业局","伊图里河林业局","政府机构及社会团体;政府机关;政府机关相关","伊图里河镇","牙克石市","121.590332,50.649510","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFF4ZQ4M","牙克石林业局","伊图里河林业局","政府机构及社会团体;政府机关;政府机关相关","伊图里河镇","牙克石市","121.590332,50.649510","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFF4ZQ4M","伊图里河林业局","伊图里河林业局","政府机构及社会团体;政府机关;政府机关相关","伊图里河镇","牙克石市","121.590332,50.649510","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFF52PNN","牙克石林业局","绰尔林业局","政府机构及社会团体;政府机关;乡镇以下级政府及事业单位","泰源建材西南侧180米","牙克石市","121.196630,47.981662","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFF9025K","伊图里河林业局","银阿林场","公司企业;农林牧渔基地;其它农林牧渔基地","大兴安岭林管局伊图里河林业局301省道","鄂伦春自治旗","122.335025,50.648625","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFFFAOU1","吉文林业局","吉文镇政府","政府机构及社会团体;政府机关;乡镇级政府及事业单位","吉文镇吉文林业局","鄂伦春自治旗","123.203973,50.580232","内蒙古自治区","呼伦贝尔市","0470-5932023","amap_place_text"
"B0FFFGO9OF","根河林业局","根河林业局加拉嘎木材检查站","政府机构及社会团体;政府机关;政府机关相关","301省道北50米","根河市","120.797867,50.438046","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFFGOTBT","根河林业局","根河林业局205管护站","政府机构及社会团体;政府机关;政府机关相关","301省道东50米","根河市","121.145548,50.609126","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFFRN41F","克一河林业局","克一河林业局工会","政府机构及社会团体;政府机关;乡镇级政府及事业单位","中央大街附近","鄂伦春自治旗","122.500094,50.651147","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFFRXOVB","大杨树林业局","四平山林场","公司企业;农林牧渔基地;其它农林牧渔基地","大杨树林业局","鄂伦春自治旗","124.654725,49.919675","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFG1VI8K","牙克石林场","牙克石市牙克石林场","公司企业;农林牧渔基地;其它农林牧渔基地","牙克石林场","牙克石市","120.794599,49.275445","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B0FFG37D2C","大杨树林业局","斌子汽车电器修理","汽车服务;汽车配件销售;汽车配件销售|汽车维修;汽车维修;汽车维修","大杨树林业局附近","鄂伦春自治旗","124.627337,49.737761","内蒙古自治区","呼伦贝尔市","15047033537","amap_place_text"
"B0FFG4P1FL","克一河林业局","新林城商店","购物服务;便民商店/便利店;便民商店/便利店","克一河林业局西南侧170米","鄂伦春自治旗","122.494518,50.649305","内蒙古自治区","呼伦贝尔市","","amap_place_text"
